Name,Subtitle,Description,GitHubUrl,BadgeUrl,UnlockCode,BadgeUri,IsCompleted,RemoteId,Id
Android Wear,Featuring Intel powered Fossil Q watch.,Build your very own custom watch face for Android Wear to display time and your current step count.,https://github.com/xamarin/mini-hacks/blob/master/Xamarin.Forms/README.md,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164903/wear-hack.png,37786,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164903/wear-hack.png,False,,894e0166-6ebb-4720-87c3-6a43a58c3668
Bitrise,Continuous Integration & Deployment to the Max!,End-to-end continous integration and deployment. Automatically build your project with every commit and link into the deep integration with Xamarin Test Cloud and Xamarin Insights.,https://github.com/xamarin/mini-hacks/blob/master/Xamarin.Forms/README.md,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164903/bitrise-hack.png,9734,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164903/bitrise-hack.png,False,,882f7396-1b5a-4c27-9023-4145ce4e959e
Philips Hue,Make those light glow!,Control your home and make Xamarin Evolve glow with HomeKit and Philips Hue.,https://github.com/xamarin/mini-hacks/blob/master/Xamarin.Forms/README.md,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164902/hue-hack.png,,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164902/hue-hack.png,False,,93532e29-fbae-4d8d-9c20-ddca8491180d
Twilio,Ring ring& who's there?,Build your very first real time communication moabile apps powered by Twilio's latest messaging& voice& and video APIs. !,https://github.com/xamarin/mini-hacks/blob/master/Xamarin.Forms/README.md,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164902/twilio-hack.png,32015,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164902/twilio-hack.png,False,,40eb7505-a5b3-4be1-8a19-21e872626ada
Azure Mobile Apps,Online? Offline? Don't worry your data is available and in sync.,Build your very own online and offline sycnrhonized mobile application across all mobile platforms. Build a full .NET backend or get up and running fast with Easy Tables.,https://github.com/xamarin/mini-hacks/blob/master/Xamarin.Forms/README.md,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164902/azure-hack.png,94942,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164902/azure-hack.png,False,,39d2f6d8-dcda-4579-b22b-79173ce3e02c
Xamarin.Forms,All the platforms& One shared UI& 100% Native,Checkout the latest and greatest features of Xamarin.Forms. Build fully native iOS& Android& and Windows apps completely from shared code and XAML.,https://github.com/xamarin/mini-hacks/blob/master/Xamarin.Forms/README.md,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164902/forms-hack.png,78476,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164902/forms-hack.png,False,,b8dbe5b3-de61-4e36-8740-8f73090ed222
HockeyApp,Deliver your app to your testers faster!,Distribute to iOS& Android& Windows Get Crash Reports and Feedback! Setup your first app in HockeyApp and see all of the additional integrations in the HockeyApp SDK for your Xamarin apps.,https://github.com/xamarin/mini-hacks/blob/master/Xamarin.Forms/README.md,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164903/hockeyapp-hack.png,77213,https://s3.amazonaws.com/blog.xamarin.com/wp-content/uploads/2016/03/19164903/hockeyapp-hack.png,False,,9555073f-c263-45b8-a891-5f7ddbc310e9
